experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2025,93,93,93,0.82156464,0.51074875,0.56701126,1,0.59821839,0.23783466,0.16394696,,,1,1,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_ob,90,90,90,0.81768348,0.51496806,0.60270963,1,0.62029928,0.20747248,0.17222825,,,1,1,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_tt,90,90,90,0.82172034,0.52403412,0.57479984,1,0.61586282,0.23982697,0.14431021,,,1,1,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aegislab,96,96,96,0.8616318,0.46967001,0.64141758,1,0.38190523,0.14138017,0.1033412,0.3733734,,1,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2022,100,100,100,0.86418998,0.45999481,0.64908686,1,0.37941601,0.14471248,0.10310724,0.37276427,,1,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2025,93,93,93,0.86400101,0.46697451,0.63341015,1,0.38594137,0.14531613,0.10577198,0.36297052,,1,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_ob,90,90,90,0.86648325,0.46208624,0.65468131,1,0.39190715,0.12866245,0.11300907,0.36642133,,1,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_tt,90,90,90,0.86270921,0.47605578,0.63705248,1,0.38658357,0.14887342,0.08837143,0.37617158,,1,1,1,1,,1
cross_region,gemma-4-26b-a4b,P,aegislab,96,96,96,0.79665211,0.25063444,0.75567166,,,,,,1,,,,,1,1
cross_region,gemma-4-26b-a4b,P,aiops2022,100,100,100,0.80129939,0.25805304,0.73541317,,,,,,1,,,,,1,1
cross_region,gemma-4-26b-a4b,P,aiops2025,93,93,93,0.80004711,0.26377323,0.73209688,,,,,,1,,,,,1,1
cross_region,gemma-4-26b-a4b,P,re2_ob,90,90,90,0.79791628,0.23537134,0.76365945,,,,,,1,,,,,1,1
cross_region,gemma-4-26b-a4b,P,re2_tt,90,90,90,0.79547364,0.23535617,0.76605999,,,,,,1,,,,,1,1
cross_region,gemma-4-26b-a4b,V,aegislab,96,96,96,0.86977251,0.11522228,0.87179487,1,0.62981431,0.023754742,0.043429501,0.30300144,,0.9791082,0.51153067,0.92649602,1.1625119,,1
cross_region,gemma-4-26b-a4b,V,aiops2022,100,100,100,0.86552187,0.11884178,0.86884615,1,0.62674596,0.024637701,0.043619913,0.30499643,,0.95577161,0.5256043,0.93055814,1.2180405,,1
cross_region,gemma-4-26b-a4b,V,aiops2025,93,93,93,0.86604819,0.12301209,0.8560794,1,0.59996973,0.023105829,0.045402995,0.33152144,,0.91499552,0.49292435,0.96859722,1.3239595,,1
cross_region,gemma-4-26b-a4b,V,re2_ob,90,90,90,0.86244366,0.11040311,0.92136752,1,0.63888925,0.02565557,0.048357269,0.28709791,,0.97354553,0.54731883,1.0316217,1.1483916,,1
cross_region,gemma-4-26b-a4b,V,re2_tt,90,90,90,0.86802906,0.12242543,0.87905983,1,0.62202363,0.022247862,0.045473027,0.31025548,,0.96907309,0.48770133,0.97009124,1.1879195,,1
cross_region,qwen3.6-27b,H,aegislab,96,96,96,0.84245101,0.099730934,0.953125,1,0.63175286,0.04084758,0.044868206,0.28253136,,0.98139149,0.88008282,0.9571884,1.0808192,,1
cross_region,qwen3.6-27b,H,aiops2022,100,100,100,0.8481078,0.10592311,0.94807692,1,0.6278254,0.040698162,0.043579638,0.2878968,,0.9574176,0.86822745,0.92969894,1.1497402,,1
cross_region,qwen3.6-27b,H,aiops2025,93,93,93,0.84302167,0.095983614,0.94623656,1,0.61081107,0.045764776,0.041315802,0.30210835,,0.93148798,0.97631522,0.88140377,1.2062618,,1
cross_region,qwen3.6-27b,H,re2_ob,90,90,90,0.84071174,0.11133889,0.94871795,1,0.62105911,0.032776735,0.047790441,0.29837372,,0.94637578,0.69923702,1.0195294,1.1934949,,1
cross_region,qwen3.6-27b,H,re2_tt,90,90,90,0.83909867,0.10820969,0.95641026,1,0.60289552,0.044871406,0.046802818,0.30543025,,0.93797787,0.97829222,0.99846011,1.1631727,,1
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aegislab,96,96,96,0.76922482,0.56986926,0.55021019,1,,,,1,,,,,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2022,100,100,100,0.77965554,0.5403391,0.63069918,1,,,,1,,,,,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2025,93,93,93,0.78216026,0.51073419,0.65897283,1,,,,1,,,,,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,re2_ob,90,90,90,0.77727696,0.523607,0.63144036,1,,,,1,,,,,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,re2_tt,90,90,90,0.78085885,0.5317072,0.6184484,1,,,,1,,,,,1,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aegislab,96,96,96,0.76866333,0.49694453,0.5088141,1,,,1,,,,,1,,,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aiops2022,100,100,100,0.7748461,0.50132738,0.56384615,1,,,1,,,,,1,,,1
