experiment,model,arm,dataset,outcome_class,n
direct_rca,qwen3.6-27b,T,aiops2025,top1_correct,17
direct_rca,qwen3.6-27b,T,aiops2025,top5_miss,55
direct_rca,qwen3.6-27b,T,re2_ob,rank_2_3,24
direct_rca,qwen3.6-27b,T,re2_ob,rank_4_5,2
direct_rca,qwen3.6-27b,T,re2_ob,top1_correct,60
direct_rca,qwen3.6-27b,T,re2_ob,top5_miss,4
direct_rca,qwen3.6-27b,T,re2_tt,rank_2_3,23
direct_rca,qwen3.6-27b,T,re2_tt,rank_4_5,1
direct_rca,qwen3.6-27b,T,re2_tt,top1_correct,54
direct_rca,qwen3.6-27b,T,re2_tt,top5_miss,12
direct_rca,qwen3.6-27b,V,aegislab,rank_2_3,25
direct_rca,qwen3.6-27b,V,aegislab,rank_4_5,3
direct_rca,qwen3.6-27b,V,aegislab,top1_correct,34
direct_rca,qwen3.6-27b,V,aegislab,top5_miss,34
direct_rca,qwen3.6-27b,V,aiops2022,rank_2_3,24
direct_rca,qwen3.6-27b,V,aiops2022,rank_4_5,5
direct_rca,qwen3.6-27b,V,aiops2022,top1_correct,17
direct_rca,qwen3.6-27b,V,aiops2022,top5_miss,54
direct_rca,qwen3.6-27b,V,aiops2025,rank_2_3,14
direct_rca,qwen3.6-27b,V,aiops2025,rank_4_5,7
direct_rca,qwen3.6-27b,V,aiops2025,top1_correct,20
direct_rca,qwen3.6-27b,V,aiops2025,top5_miss,52
direct_rca,qwen3.6-27b,V,re2_ob,rank_2_3,31
direct_rca,qwen3.6-27b,V,re2_ob,rank_4_5,5
direct_rca,qwen3.6-27b,V,re2_ob,top1_correct,42
direct_rca,qwen3.6-27b,V,re2_ob,top5_miss,12
direct_rca,qwen3.6-27b,V,re2_tt,rank_2_3,18
direct_rca,qwen3.6-27b,V,re2_tt,rank_4_5,7
direct_rca,qwen3.6-27b,V,re2_tt,top1_correct,39
direct_rca,qwen3.6-27b,V,re2_tt,top5_miss,26
direct_rca,qwen3.8-27b,F,aegislab,rank_2_3,23
direct_rca,qwen3.8-27b,F,aegislab,rank_4_5,9
direct_rca,qwen3.8-27b,F,aegislab,top1_correct,32
direct_rca,qwen3.8-27b,F,aegislab,top5_miss,32
direct_rca,qwen3.8-27b,F,aiops2022,rank_2_3,15
direct_rca,qwen3.8-27b,F,aiops2022,rank_4_5,4
direct_rca,qwen3.8-27b,F,aiops2022,top1_correct,23
direct_rca,qwen3.8-27b,F,aiops2022,top5_miss,58
direct_rca,qwen3.8-27b,F,aiops2025,rank_2_3,19
direct_rca,qwen3.8-27b,F,aiops2025,rank_4_5,7
direct_rca,qwen3.8-27b,F,aiops2025,top1_correct,14
direct_rca,qwen3.8-27b,F,aiops2025,top5_miss,53
direct_rca,qwen3.8-27b,F,re2_ob,rank_2_3,36
direct_rca,qwen3.8-27b,F,re2_ob,rank_4_5,2
direct_rca,qwen3.8-27b,F,re2_ob,top1_correct,43
direct_rca,qwen3.8-27b,F,re2_ob,top5_miss,9
direct_rca,qwen3.8-27b,F,re2_tt,rank_2_3,28
direct_rca,qwen3.8-27b,F,re2_tt,rank_4_5,5
direct_rca,qwen3.8-27b,F,re2_tt,top1_correct,43
direct_rca,qwen3.8-27b,F,re2_tt,top5_miss,14
direct_rca,qwen3.8-27b,H,aegislab,rank_2_3,18
direct_rca,qwen3.8-27b,H,aegislab,rank_4_5,8
direct_rca,qwen3.8-27b,H,aegislab,top1_correct,36
direct_rca,qwen3.8-27b,H,aegislab,top5_miss,34
direct_rca,qwen3.8-27b,H,aiops2022,parse_failure,2
direct_rca,qwen3.8-27b,H,aiops2022,rank_2_3,14
direct_rca,qwen3.8-27b,H,aiops2022,rank_4_5,7
direct_rca,qwen3.8-27b,H,aiops2022,top1_correct,21
direct_rca,qwen3.8-27b,H,aiops2022,top5_miss,56
direct_rca,qwen3.8-27b,H,aiops2025,rank_2_3,16
direct_rca,qwen3.8-27b,H,aiops2025,rank_4_5,8
direct_rca,qwen3.8-27b,H,aiops2025,top1_correct,14
direct_rca,qwen3.8-27b,H,aiops2025,top5_miss,55
direct_rca,qwen3.8-27b,H,re2_ob,rank_2_3,38
direct_rca,qwen3.8-27b,H,re2_ob,rank_4_5,2
direct_rca,qwen3.8-27b,H,re2_ob,top1_correct,39
direct_rca,qwen3.8-27b,H,re2_ob,top5_miss,11
direct_rca,qwen3.8-27b,H,re2_tt,rank_2_3,29
direct_rca,qwen3.8-27b,H,re2_tt,rank_4_5,7
direct_rca,qwen3.8-27b,H,re2_tt,top1_correct,37
direct_rca,qwen3.8-27b,H,re2_tt,top5_miss,17
direct_rca,qwen3.8-27b,P,aegislab,parse_failure,1
direct_rca,qwen3.8-27b,P,aegislab,rank_2_3,25
direct_rca,qwen3.8-27b,P,aegislab,rank_4_5,9
direct_rca,qwen3.8-27b,P,aegislab,top1_correct,27
direct_rca,qwen3.8-27b,P,aegislab,top5_miss,34
direct_rca,qwen3.8-27b,P,aiops2022,parse_failure,2
direct_rca,qwen3.8-27b,P,aiops2022,rank_2_3,23
direct_rca,qwen3.8-27b,P,aiops2022,rank_4_5,13
direct_rca,qwen3.8-27b,P,aiops2022,top1_correct,7
direct_rca,qwen3.8-27b,P,aiops2022,top5_miss,55
direct_rca,qwen3.8-27b,P,aiops2025,rank_2_3,13
direct_rca,qwen3.8-27b,P,aiops2025,rank_4_5,10
direct_rca,qwen3.8-27b,P,aiops2025,top1_correct,16
direct_rca,qwen3.8-27b,P,aiops2025,top5_miss,54
direct_rca,qwen3.8-27b,P,re2_ob,parse_failure,1
direct_rca,qwen3.8-27b,P,re2_ob,rank_2_3,35
direct_rca,qwen3.8-27b,P,re2_ob,rank_4_5,19
direct_rca,qwen3.8-27b,P,re2_ob,top1_correct,23
direct_rca,qwen3.8-27b,P,re2_ob,top5_miss,12
direct_rca,qwen3.8-27b,P,re2_tt,parse_failure,1
direct_rca,qwen3.8-27b,P,re2_tt,rank_2_3,26
direct_rca,qwen3.8-27b,P,re2_tt,rank_4_5,18
direct_rca,qwen3.8-27b,P,re2_tt,top1_correct,19
direct_rca,qwen3.8-27b,P,re2_tt,top5_miss,26
direct_rca,qwen3.8-27b,R,aegislab,rank_2_3,25
direct_rca,qwen3.8-27b,R,aegislab,rank_4_5,10
direct_rca,qwen3.8-27b,R,aegislab,top1_correct,32
direct_rca,qwen3.8-27b,R,aegislab,top5_miss,29
direct_rca,qwen3.8-27b,R,aiops2022,rank_2_3,24
direct_rca,qwen3.8-27b,R,aiops2022,rank_4_5,6
direct_rca,qwen3.8-27b,R,aiops2022,top1_correct,14
direct_rca,qwen3.8-27b,R,aiops2022,top5_miss,56
direct_rca,qwen3.8-27b,R,aiops2025,rank_2_3,16
direct_rca,qwen3.8-27b,R,aiops2025,rank_4_5,9
direct_rca,qwen3.8-27b,R,aiops2025,top1_correct,19
direct_rca,qwen3.8-27b,R,aiops2025,top5_miss,49
direct_rca,qwen3.8-27b,R,re2_ob,rank_2_3,35
direct_rca,qwen3.8-27b,R,re2_ob,rank_4_5,5
direct_rca,qwen3.8-27b,R,re2_ob,top1_correct,30
direct_rca,qwen3.8-27b,R,re2_ob,top5_miss,20
direct_rca,qwen3.8-27b,R,re2_tt,rank_2_3,21
direct_rca,qwen3.8-27b,R,re2_tt,rank_4_5,9
direct_rca,qwen3.8-27b,R,re2_tt,top1_correct,31
direct_rca,qwen3.8-27b,R,re2_tt,top5_miss,29
direct_rca,qwen3.8-27b,T,aegislab,parse_failure,1
direct_rca,qwen3.8-27b,T,aegislab,rank_2_3,22
direct_rca,qwen3.8-27b,T,aegislab,rank_4_5,9
direct_rca,qwen3.8-27b,T,aegislab,top1_correct,34
direct_rca,qwen3.8-27b,T,aegislab,top5_miss,30
direct_rca,qwen3.8-27b,T,aiops2022,parse_failure,1
direct_rca,qwen3.8-27b,T,aiops2022,rank_2_3,13
direct_rca,qwen3.8-27b,T,aiops2022,rank_4_5,5
direct_rca,qwen3.8-27b,T,aiops2022,top1_correct,26
direct_rca,qwen3.8-27b,T,aiops2022,top5_miss,55
direct_rca,qwen3.8-27b,T,aiops2025,rank_2_3,20
direct_rca,qwen3.8-27b,T,aiops2025,rank_4_5,4
direct_rca,qwen3.8-27b,T,aiops2025,top1_correct,13
direct_rca,qwen3.8-27b,T,aiops2025,top5_miss,56
direct_rca,qwen3.8-27b,T,re2_ob,parse_failure,1
direct_rca,qwen3.8-27b,T,re2_ob,rank_2_3,39
direct_rca,qwen3.8-27b,T,re2_ob,rank_4_5,1
direct_rca,qwen3.8-27b,T,re2_ob,top1_correct,38
direct_rca,qwen3.8-27b,T,re2_ob,top5_miss,11
direct_rca,qwen3.8-27b,T,re2_tt,rank_2_3,28
direct_rca,qwen3.8-27b,T,re2_tt,rank_4_5,9
direct_rca,qwen3.8-27b,T,re2_tt,top1_correct,39
direct_rca,qwen3.8-27b,T,re2_tt,top5_miss,14
direct_rca,qwen3.8-27b,V,aegislab,parse_failure,2
direct_rca,qwen3.8-27b,V,aegislab,rank_2_3,23
direct_rca,qwen3.8-27b,V,aegislab,rank_4_5,7
direct_rca,qwen3.8-27b,V,aegislab,top1_correct,30
direct_rca,qwen3.8-27b,V,aegislab,top5_miss,34
direct_rca,qwen3.8-27b,V,aiops2022,rank_2_3,27
direct_rca,qwen3.8-27b,V,aiops2022,rank_4_5,10
direct_rca,qwen3.8-27b,V,aiops2022,top1_correct,11
direct_rca,qwen3.8-27b,V,aiops2022,top5_miss,52
direct_rca,qwen3.8-27b,V,aiops2025,parse_failure,2
direct_rca,qwen3.8-27b,V,aiops2025,rank_2_3,13
direct_rca,qwen3.8-27b,V,aiops2025,rank_4_5,10
direct_rca,qwen3.8-27b,V,aiops2025,top1_correct,16
direct_rca,qwen3.8-27b,V,aiops2025,top5_miss,52
direct_rca,qwen3.8-27b,V,re2_ob,rank_2_3,33
direct_rca,qwen3.8-27b,V,re2_ob,rank_4_5,15
direct_rca,qwen3.8-27b,V,re2_ob,top1_correct,31
direct_rca,qwen3.8-27b,V,re2_ob,top5_miss,11
direct_rca,qwen3.8-27b,V,re2_tt,rank_2_3,24
direct_rca,qwen3.8-27b,V,re2_tt,rank_4_5,13
direct_rca,qwen3.8-27b,V,re2_tt,top1_correct,28
direct_rca,qwen3.8-27b,V,re2_tt,top5_miss,25
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aegislab,rank_2_3,2
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aegislab,top1_correct,41
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aegislab,top5_miss,53
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2022,top1_correct,26
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2022,top5_miss,74
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,rank_2_3,2
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,rank_4_5,1
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,top1_correct,16
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,top5_miss,74
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_ob,rank_2_3,3
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_ob,top1_correct,72
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_ob,top5_miss,15
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_tt,rank_2_3,3
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_tt,top1_correct,48
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_tt,top5_miss,39
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aegislab,rank_2_3,5
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aegislab,top1_correct,37
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aegislab,top5_miss,54
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2022,rank_2_3,5
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2022,rank_4_5,2
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2022,top1_correct,29
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2022,top5_miss,64
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2025,rank_2_3,4
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2025,top1_correct,18
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2025,top5_miss,71
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_ob,rank_2_3,2
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_ob,top1_correct,68
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_ob,top5_miss,20
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_tt,rank_2_3,3
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_tt,rank_4_5,2
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_tt,top1_correct,44
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_tt,top5_miss,41
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aegislab,top1_correct,39
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aegislab,top5_miss,57
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2022,rank_2_3,1
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2022,top1_correct,20
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2022,top5_miss,79
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,rank_2_3,1
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,rank_4_5,1
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,top1_correct,16
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,top5_miss,75
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_ob,top1_correct,62
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_ob,top5_miss,28
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_tt,top1_correct,41
