experiment,model,arm,dataset,fault_type,n,ac1,ac3,ac5,mrr,unknown_ids
direct_rca,gemma-4-26b-a4b,H,aegislab,NetworkLoss,3,0,0.33333333,0.33333333,0.16666667,0
direct_rca,gemma-4-26b-a4b,H,aegislab,NetworkPartition,6,0.16666667,0.5,0.5,0.30555556,0
direct_rca,gemma-4-26b-a4b,H,aegislab,PodFailure,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,H,aegislab,PodKill,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器cpu负载,9,0.55555556,0.77777778,0.77777778,0.64814815,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器内存负载,8,0.375,0.5,0.5,0.41666667,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器写io负载,4,0.25,0.75,0.75,0.45833333,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器网络丢包,9,0.11111111,0.33333333,0.44444444,0.24444444,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器网络延迟,10,0,0.2,0.2,0.1,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器网络资源包损坏,10,0.3,0.4,0.5,0.35833333,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器网络资源包重复发送,7,0,0.42857143,0.42857143,0.16666667,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器读io负载,9,0.66666667,0.88888889,0.88888889,0.77777778,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,k8s容器进程中止,5,0.6,0.6,0.6,0.6,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,node 内存消耗,5,0,0.2,0.2,0.1,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,node 磁盘写IO消耗,6,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,node 磁盘空间消耗,5,0.6,0.6,1,0.69,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,node 磁盘读IO消耗,5,0.2,0.4,0.4,0.26666667,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,node节点CPU故障,5,0.2,0.6,0.6,0.4,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,node节点CPU爬升,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,code error,1,0,0,0,0,0
