experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
direct_rca,qwen3.6-27b,H,aegislab,correct,35,0.83869321,0.10765435,0.95384615,,0.61749117,0.039951918,0.044856462,0.29770045,,0.9676958,0.85805868,0.95693786,1.1195377,
direct_rca,qwen3.6-27b,H,aegislab,incorrect,61,0.83955153,0.10939493,0.94703657,,0.61313238,0.03963972,0.043728812,0.30349909,,0.96488552,0.86100824,0.93288133,1.1293825,
direct_rca,qwen3.6-27b,H,aiops2022,correct,20,0.84054255,0.10644833,0.94807692,,0.62763735,0.036723326,0.044423922,0.2912154,,0.95639977,0.78343096,0.94771034,1.1648616,
direct_rca,qwen3.6-27b,H,aiops2022,incorrect,80,0.840128,0.11252471,0.94471154,,0.62546639,0.036208172,0.042301724,0.29602372,,0.95749133,0.772441,0.90243677,1.1720277,
direct_rca,qwen3.6-27b,H,aiops2025,correct,17,0.83646356,0.11114997,0.94570136,,0.61852284,0.038893436,0.040161156,0.30242257,,0.942511,0.82972663,0.85677132,1.2096903,
direct_rca,qwen3.6-27b,H,aiops2025,incorrect,76,0.83460232,0.10854866,0.94433198,,0.61948068,0.038591247,0.038939765,0.3029883,,0.94397056,0.82327994,0.83071499,1.2119532,
direct_rca,qwen3.6-27b,H,re2_ob,correct,52,0.83797217,0.097474347,0.9556213,,0.63123148,0.032938345,0.043960367,0.29186981,,0.96187654,0.70268469,0.93782117,1.1674792,
direct_rca,qwen3.6-27b,H,re2_ob,incorrect,38,0.83452153,0.10227975,0.95242915,,0.63336238,0.03213464,0.043163269,0.29133971,,0.96512363,0.68553898,0.92081641,1.1653588,
direct_rca,qwen3.6-27b,H,re2_tt,correct,51,0.8346642,0.10796311,0.95022624,,0.6208041,0.041205451,0.037314716,0.30067573,,0.95152497,0.87904962,0.79604728,1.1872777,
direct_rca,qwen3.6-27b,H,re2_tt,incorrect,39,0.83425,0.11957834,0.94378698,,0.61321361,0.038493958,0.038786101,0.30950633,,0.9586022,0.84495915,0.8342363,1.1680527,
direct_rca,qwen3.6-27b,P,aegislab,correct,25,0.78620871,0.11836454,0.95375875,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,aegislab,incorrect,71,0.78440402,0.11452201,0.95389831,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,aiops2022,correct,13,0.78473308,0.12589015,0.93846323,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,aiops2022,incorrect,87,0.7840161,0.12587873,0.93597405,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,aiops2025,correct,20,0.79471464,0.12586455,0.94102666,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,aiops2025,incorrect,73,0.79363867,0.12688419,0.9402026,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,re2_ob,correct,47,0.77737995,0.12271666,0.94520473,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,re2_ob,incorrect,43,0.77767975,0.12542349,0.94318701,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,re2_tt,correct,32,0.7772654,0.1150252,0.94908705,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,P,re2_tt,incorrect,58,0.77810156,0.11439273,0.94794644,,,,,,1,,,,,1
direct_rca,qwen3.6-27b,R,aegislab,correct,33,0.83321087,0.15949824,0.93589744,,0.55296857,0.050110285,0.078348731,0.31857241,,0.86351698,1.0690194,1.6714396,1.2101613,
direct_rca,qwen3.6-27b,R,aegislab,incorrect,63,0.8316745,0.16459993,0.93833944,,0.56023326,0.045972062,0.074518557,0.31927612,,0.88281063,1.0046534,1.5897292,1.1878218,
direct_rca,qwen3.6-27b,R,aiops2022,correct,20,0.83704504,0.17978701,0.92307692,,0.56322628,0.04217168,0.067874938,0.3267271,,0.86155737,0.89966251,1.4479987,1.2973027,
direct_rca,qwen3.6-27b,R,aiops2022,incorrect,80,0.83849019,0.17044674,0.91394231,,0.56336589,0.041341122,0.068462652,0.32683034,,0.86164731,0.88194393,1.4605366,1.297511,
direct_rca,qwen3.6-27b,R,aiops2025,correct,23,0.83157732,0.16074649,0.92976589,,0.56112605,0.044790249,0.063919582,0.33016412,,0.85504921,0.9555253,1.3636177,1.3206565,
