experiment,model,arm,dataset_scope,n,mean_text_tokens,sum_text_tokens,mean_image_tokens,sum_image_tokens,mean_input_tokens,sum_input_tokens,mean_output_tokens,sum_output_tokens,mean_total_tokens,sum_total_tokens,mean_model_calls,sum_model_calls,mean_incremental_total_tokens,mean_amortized_total_tokens,mean_amortized_model_calls
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,aiops2022,100,3803.16,380316,1567,156700,5370.16,537016,249.65,24965,5619.81,561981,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,aiops2022,100,2419.06,241906,2088.09,208809,4507.15,450715,249.94,24994,4757.09,475709,2,200,,,
typed_two_stage,qwen3.8-27b,P,aiops2022,100,2425.77,242577,19585.98,1958598,22011.75,2201175,250.03,25003,22261.78,2226178,2,200,,,
typed_two_stage,qwen3.8-27b,V,aiops2022,100,2422.17,242217,2088.42,208842,4510.59,451059,250,25000,4760.59,476059,2,200,,,
typed_two_stage,qwen3.8-27b,H,aiops2025,93,17474.344,1625114,2050.5161,190698,19524.86,1815812,279.95699,26036,19804.817,1841848,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,aiops2025,93,17472.624,1624954,0,0,17472.624,1624954,278.5914,25909,17751.215,1650863,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,aiops2025,93,16240.699,1510385,481.50538,44780,16722.204,1555165,277.93548,25848,17000.14,1581013,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,aiops2025,93,17041.441,1584854,98,9114,17139.441,1593968,278.91398,25939,17418.355,1619907,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,aiops2025,93,15801.419,1469532,579.50538,53894,16380.925,1523426,277.10753,25771,16658.032,1549197,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,aiops2025,93,16779.032,1560450,98,9114,16877.032,1569564,276.64516,25728,17153.677,1595292,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,aiops2025,93,15551.441,1446284,579.50538,53894,16130.946,1500178,275.63441,25634,16406.581,1525812,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,aiops2025,93,16348.28,1520390,196,18228,16544.28,1538618,278.26882,25879,16822.548,1564497,2,186,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,aiops2025,93,15110.656,1405291,677.50538,63008,15788.161,1468299,276.09677,25677,16064.258,1493976,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,aiops2025,93,4924.172,457948,1371,127503,6295.172,585451,279.8172,26023,6574.9892,611474,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,aiops2025,93,3726.4194,346557,1852.5054,172283,5578.9247,518840,278.24731,25877,5857.172,544717,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,aiops2025,93,4478.8065,416529,1469,136617,5947.8065,553146,278.69892,25919,6226.5054,579065,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,aiops2025,93,3270.8387,304188,1950.5054,181397,5221.3441,485585,278.07527,25861,5499.4194,511446,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,aiops2025,93,4239.0215,394229,1469,136617,5708.0215,530846,276.97849,25759,5985,556605,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,aiops2025,93,3024.0108,281233,1950.5054,181397,4974.5161,462630,276.46237,25711,5250.9785,488341,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,aiops2025,93,3788.086,352292,1567,145731,5355.086,498023,277.1828,25778,5632.2688,523801,2,186,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,aiops2025,93,2590.1828,240887,2048.5054,190511,4638.6882,431398,276.96774,25758,4915.6559,457156,2,186,,,
