experiment,model,comparison,dimension,value,repair_n,break_n,n,delta,p,cohen_dz,improve,degrade,tie
direct_rca,qwen3.6-27b,R - T,root_service,emailservice-1,0,1,2,-0.375,0.5,-2.1213203,0,2,0
direct_rca,qwen3.6-27b,R - T,root_service,frontend,0,2,6,-0.11111111,0.5,-0.33903175,1,2,3
direct_rca,qwen3.6-27b,R - T,root_service,frontend-0,1,0,1,1,1,inf,1,0,0
direct_rca,qwen3.6-27b,R - T,root_service,frontend-1,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,frontend-2,0,1,1,-0.5,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,root_service,frontend2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,mysql,0,1,6,-0.16666667,1,-0.40824829,0,1,5
direct_rca,qwen3.6-27b,R - T,root_service,node-1,0,0,6,0,1,0,0,0,6
direct_rca,qwen3.6-27b,R - T,root_service,node-2,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,root_service,node-3,2,0,7,0.23809524,0.5,0.56980288,2,0,5
direct_rca,qwen3.6-27b,R - T,root_service,node-4,0,0,5,-0.01,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,R - T,root_service,node-5,2,1,12,0.0625,0.75,0.15600091,2,1,9
direct_rca,qwen3.6-27b,R - T,root_service,node-6,1,3,12,-0.097222222,0.5625,-0.22059868,2,3,7
direct_rca,qwen3.6-27b,R - T,root_service,node-7,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,R - T,root_service,node-8,1,0,4,0.11666667,1,0.30815782,1,1,2
direct_rca,qwen3.6-27b,R - T,root_service,paymentservice,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,R - T,root_service,productcatalogservice,0,2,8,-0.15625,0.375,-0.46300833,1,3,4
direct_rca,qwen3.6-27b,R - T,root_service,productcatalogservice-0,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,root_service,productcatalogservice-1,0,0,3,0.083333333,1,0.21821789,1,1,1
direct_rca,qwen3.6-27b,R - T,root_service,productcatalogservice-2,0,0,2,-0.16666667,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,R - T,root_service,productcatalogservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,recommendationservice,0,1,5,-0.13333333,1,-0.26375219,1,1,3
direct_rca,qwen3.6-27b,R - T,root_service,recommendationservice-2,0,0,1,-0.2,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,root_service,recommendationservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,shippingservice,1,2,10,-0.025,1,-0.054608675,2,2,6
direct_rca,qwen3.6-27b,R - T,root_service,shippingservice-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,shippingservice-1,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,R - T,root_service,shippingservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,tidb-tidb,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,R - T,root_service,tidb-tikv,1,0,10,0.058333333,0.625,0.20582301,3,1,6
direct_rca,qwen3.6-27b,R - T,root_service,ts-assurance-service,0,0,5,-0.033333333,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,R - T,root_service,ts-auth-service,1,1,4,0.125,1,0.19867985,1,1,2
direct_rca,qwen3.6-27b,R - T,root_service,ts-basic-service,0,3,19,-0.15175439,0.04892314,-0.5360269,1,6,12
direct_rca,qwen3.6-27b,R - T,root_service,ts-config-service,0,3,6,-0.48055556,0.125,-0.92665866,1,4,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-consign-service,0,0,2,-0.083333333,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-contacts-service,0,0,2,0.083333333,1,0.70710678,1,0,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-food-service,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,root_service,ts-inside-payment-service,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,R - T,root_service,ts-order-other-service,0,0,4,-0.05,1,-0.5,0,1,3
direct_rca,qwen3.6-27b,R - T,root_service,ts-order-service,1,0,5,0.06,1,0.10639904,1,2,2
direct_rca,qwen3.6-27b,R - T,root_service,ts-preserve-service,1,0,5,0.16,0.5,0.40997947,3,1,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-price-service,0,2,2,-0.75,0.5,-2.1213203,0,2,0
direct_rca,qwen3.6-27b,R - T,root_service,ts-route-plan-service,0,1,6,-0.15,0.25,-0.75955453,0,3,3
direct_rca,qwen3.6-27b,R - T,root_service,ts-route-service,0,0,4,-0.05,1,-0.15075567,1,1,2
direct_rca,qwen3.6-27b,R - T,root_service,ts-seat-service,0,0,6,-0.11666667,0.5,-0.57154761,0,2,4
direct_rca,qwen3.6-27b,R - T,root_service,ts-security-service,0,0,1,-0.13333333,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,root_service,ts-station-food-service,0,0,1,-0.33333333,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,root_service,ts-station-service,0,1,1,-1,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,root_service,ts-train-service,0,0,2,0.083333333,1,0.70710678,1,0,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-travel-plan-service,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,root_service,ts-travel-service,0,0,3,-0.066666667,1,-0.57735027,0,1,2
direct_rca,qwen3.6-27b,R - T,root_service,ts-travel2-service,1,0,2,0.25,1,0.70710678,1,0,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-user-service,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,ts-verification-code-service,0,0,1,-0.5,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,dataset,aegislab,4,11,96,-0.0953125,0.00055047778,-0.29926227,9,32,55
direct_rca,qwen3.6-27b,V - T,dataset,aiops2022,8,17,100,-0.050166667,0.06710327,-0.12562504,16,30,54
direct_rca,qwen3.6-27b,V - T,dataset,aiops2025,8,5,93,0.037096774,0.22735422,0.11542586,20,13,60
direct_rca,qwen3.6-27b,V - T,fault_type,ContainerKill,0,1,6,-0.16666667,0.5,-0.64549722,0,2,4
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPRequestAbort,1,0,6,0.094444444,0.75,0.28197374,2,2,2
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPRequestDelay,0,1,7,-0.21904762,0.25,-0.59425375,0,3,4
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPRequestReplaceMethod,0,4,15,-0.15888889,0.23746979,-0.39816807,3,6,6
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPRequestReplacePath,0,0,1,-0.25,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPResponseAbort,0,0,3,0.16666667,1,0.57735027,1,0,2
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPResponseDelay,1,1,7,-0.095238095,0.75,-0.21170245,1,2,4
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPResponseReplaceBody,0,0,2,-0.083333333,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,fault_type,HTTPResponseReplaceCode,0,1,13,-0.082051282,0.125,-0.54674899,0,4,9
direct_rca,qwen3.6-27b,V - T,fault_type,JVMException,0,0,3,-0.16666667,0.5,-1,0,2,1
direct_rca,qwen3.6-27b,V - T,fault_type,JVMLatency,0,0,1,-0.5,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,fault_type,JVMMemoryStress,1,0,14,-0.014285714,0.38075774,-0.050850267,1,3,10
direct_rca,qwen3.6-27b,V - T,fault_type,JVMReturn,0,1,2,-0.33333333,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,fault_type,NetworkBandwidth,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,V - T,fault_type,NetworkCorrupt,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,V - T,fault_type,NetworkDelay,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,fault_type,NetworkLoss,1,0,3,0.15555556,1,0.34279147,1,1,1
direct_rca,qwen3.6-27b,V - T,fault_type,NetworkPartition,0,1,6,-0.20833333,0.5,-0.52015649,0,2,4
direct_rca,qwen3.6-27b,V - T,fault_type,PodFailure,0,1,1,-0.5,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,fault_type,PodKill,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,fault_type,code error,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,fault_type,cpu stress,0,1,8,-0.1,1,-0.35355339,0,1,7
direct_rca,qwen3.6-27b,V - T,fault_type,dns error,0,0,5,0.05,1,0.4472136,1,0,4
direct_rca,qwen3.6-27b,V - T,fault_type,io fault,1,0,5,0.016666667,1,0.046880723,2,1,2
direct_rca,qwen3.6-27b,V - T,fault_type,jvm cpu,0,0,3,-0.12777778,0.5,-1.0214659,0,2,1
direct_rca,qwen3.6-27b,V - T,fault_type,jvm exception,0,0,3,-0.066666667,1,-0.57735027,0,1,2
direct_rca,qwen3.6-27b,V - T,fault_type,jvm gc,0,0,2,-0.16666667,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,fault_type,jvm latency,0,0,5,0.066666667,1,0.4472136,1,0,4
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器cpu负载,0,3,9,-0.25925926,0.125,-0.73104309,0,4,5
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器内存负载,1,0,8,0.1875,0.5,0.50401613,2,0,6
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器写io负载,0,3,4,-0.375,0.25,-1.5,0,3,1
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器网络丢包,2,1,9,0.088888889,0.875,0.20744262,2,2,5
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器网络延迟,1,0,10,0.11,0.5,0.33034889,3,2,5
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器网络资源包损坏,2,2,10,0.105,0.609375,0.19577242,5,4,1
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器网络资源包重复发送,0,0,7,-0.10714286,0.5,-0.54470478,0,2,5
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器读io负载,1,2,9,-0.083333333,0.375,-0.1696622,1,4,4
direct_rca,qwen3.6-27b,V - T,fault_type,k8s容器进程中止,0,2,5,-0.32666667,0.25,-0.95547253,0,3,2
direct_rca,qwen3.6-27b,V - T,fault_type,memory stress,0,0,6,0.0083333333,1,0.065039361,2,1,3
direct_rca,qwen3.6-27b,V - T,fault_type,network corrupt,1,0,6,0.11666667,0.75,0.34156503,2,1,3
direct_rca,qwen3.6-27b,V - T,fault_type,network delay,1,1,7,0.052380952,0.875,0.10130471,3,2,2
direct_rca,qwen3.6-27b,V - T,fault_type,network loss,2,1,5,0.15,1,0.19166297,2,1,2
direct_rca,qwen3.6-27b,V - T,fault_type,node cpu stress,1,0,6,0.16666667,1,0.40824829,1,0,5
direct_rca,qwen3.6-27b,V - T,fault_type,node disk fill,2,0,4,0.33333333,0.5,0.8660254,2,0,2
direct_rca,qwen3.6-27b,V - T,fault_type,node memory stress,0,0,12,0.052777778,0.5,0.42746454,2,0,10
direct_rca,qwen3.6-27b,V - T,fault_type,node 内存消耗,0,0,5,-0.033333333,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,V - T,fault_type,node 磁盘写IO消耗,0,2,6,-0.33333333,0.5,-0.64549722,0,2,4
direct_rca,qwen3.6-27b,V - T,fault_type,node 磁盘空间消耗,0,1,5,-0.066666667,1,-0.18257419,1,1,3
direct_rca,qwen3.6-27b,V - T,fault_type,node 磁盘读IO消耗,0,1,5,-0.15,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,V - T,fault_type,node节点CPU故障,1,0,5,0.15,0.5,0.42192651,2,1,2
direct_rca,qwen3.6-27b,V - T,fault_type,node节点CPU爬升,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,V - T,fault_type,pod failure,0,1,10,0.033333333,1,0.12909944,2,1,7
direct_rca,qwen3.6-27b,V - T,fault_type,pod kill,0,1,2,-0.33333333,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,fault_type,target port misconfig,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,V - T,root_service,adservice,1,0,16,0.013541667,0.54839623,0.052990852,2,4,10
direct_rca,qwen3.6-27b,V - T,root_service,adservice-0,0,1,1,-0.8,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,root_service,adservice-1,1,0,3,0.26666667,1,0.57735027,1,0,2
direct_rca,qwen3.6-27b,V - T,root_service,adservice2-0,1,0,1,1,1,inf,1,0,0
direct_rca,qwen3.6-27b,V - T,root_service,cartservice,2,2,12,0.034722222,0.828125,0.060664733,4,3,5
direct_rca,qwen3.6-27b,V - T,root_service,cartservice-0,0,0,2,0.15,1,0.70710678,1,0,1
direct_rca,qwen3.6-27b,V - T,root_service,cartservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,checkoutservice,3,1,21,0.10873016,0.198965,0.31598249,7,3,11
direct_rca,qwen3.6-27b,V - T,root_service,checkoutservice-0,0,1,2,-0.5,0.5,-2.1213203,0,2,0
direct_rca,qwen3.6-27b,V - T,root_service,checkoutservice-1,0,1,2,-0.25,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,currencyservice,0,0,6,-0.033333333,1,-0.22140372,1,2,3
direct_rca,qwen3.6-27b,V - T,root_service,currencyservice-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,currencyservice-1,0,1,2,-0.5,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,currencyservice-2,0,2,2,-0.5,0.5,-inf,0,2,0
direct_rca,qwen3.6-27b,V - T,root_service,emailservice,1,0,6,0.069444444,1,0.14513803,1,2,3
direct_rca,qwen3.6-27b,V - T,root_service,emailservice-1,0,1,2,-0.375,0.5,-2.1213203,0,2,0
direct_rca,qwen3.6-27b,V - T,root_service,frontend,0,1,6,-0.022222222,1,-0.076138699,2,2,2
direct_rca,qwen3.6-27b,V - T,root_service,frontend-0,1,0,1,1,1,inf,1,0,0
direct_rca,qwen3.6-27b,V - T,root_service,frontend-1,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,frontend-2,0,1,1,-0.5,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,root_service,frontend2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,mysql,1,1,6,-0.055555556,1,-0.1040313,1,1,4
direct_rca,qwen3.6-27b,V - T,root_service,node-1,0,0,6,0,1,0,0,0,6
direct_rca,qwen3.6-27b,V - T,root_service,node-2,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,V - T,root_service,node-3,2,0,7,0.28571429,0.25,0.70547562,3,0,4
direct_rca,qwen3.6-27b,V - T,root_service,node-4,0,0,5,-0.05,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,V - T,root_service,node-5,0,1,12,-0.076388889,0.5,-0.3512518,0,2,10
direct_rca,qwen3.6-27b,V - T,root_service,node-6,1,3,12,-0.11111111,0.75,-0.21408721,3,3,6
direct_rca,qwen3.6-27b,V - T,root_service,node-7,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,V - T,root_service,node-8,1,0,4,0.24166667,0.5,0.76315789,2,0,2
direct_rca,qwen3.6-27b,V - T,root_service,paymentservice,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,V - T,root_service,productcatalogservice,0,2,8,-0.18333333,0.375,-0.51255938,1,3,4
direct_rca,qwen3.6-27b,V - T,root_service,productcatalogservice-0,0,1,3,-0.16666667,1,-0.57735027,0,1,2
direct_rca,qwen3.6-27b,V - T,root_service,productcatalogservice-1,1,0,3,0.25,1,0.37796447,1,1,1
direct_rca,qwen3.6-27b,V - T,root_service,productcatalogservice-2,0,0,2,-0.16666667,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,productcatalogservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,recommendationservice,0,1,5,-0.16,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,V - T,root_service,recommendationservice-2,0,0,1,-0.2,1,-inf,0,1,0
direct_rca,qwen3.6-27b,V - T,root_service,recommendationservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,shippingservice,0,2,10,-0.045,1,-0.15776261,2,2,6
direct_rca,qwen3.6-27b,V - T,root_service,shippingservice-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,shippingservice-1,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,V - T,root_service,shippingservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,V - T,root_service,tidb-tidb,0,0,2,0,1,0,0,0,2
direct_rca,qwen3.6-27b,V - T,root_service,tidb-tikv,1,0,10,0.041666667,0.625,0.161281,3,1,6
direct_rca,qwen3.6-27b,V - T,root_service,ts-assurance-service,0,0,5,-0.033333333,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,V - T,root_service,ts-auth-service,0,1,4,-0.16666667,0.5,-0.70710678,0,2,2
direct_rca,qwen3.6-27b,V - T,root_service,ts-basic-service,0,4,19,-0.15175439,0.035812487,-0.43984014,1,7,11
direct_rca,qwen3.6-27b,V - T,root_service,ts-config-service,0,2,6,-0.375,0.25,-0.75955453,0,3,3
direct_rca,qwen3.6-27b,V - T,root_service,ts-consign-service,0,0,2,-0.25,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,ts-contacts-service,0,1,2,-0.25,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,ts-food-service,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,V - T,root_service,ts-inside-payment-service,0,1,2,-0.33333333,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,ts-order-other-service,0,0,4,-0.05,1,-0.5,0,1,3
direct_rca,qwen3.6-27b,V - T,root_service,ts-order-service,0,0,5,0.026666667,1,0.095143753,1,2,2
direct_rca,qwen3.6-27b,V - T,root_service,ts-preserve-service,0,0,5,-0.056666667,0.5,-0.33533768,1,2,2
direct_rca,qwen3.6-27b,V - T,root_service,ts-price-service,0,1,2,-0.25,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,V - T,root_service,ts-route-plan-service,0,0,6,-0.066666667,0.5,-0.64549722,0,2,4
direct_rca,qwen3.6-27b,V - T,root_service,ts-route-service,0,0,4,-0.13333333,0.5,-0.37463432,1,2,1
direct_rca,qwen3.6-27b,V - T,root_service,ts-seat-service,0,0,6,-0.033333333,0.75,-0.25,1,2,3
