experiment,model,arm,dataset,n,supported,unsupported,binding_rate
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,96,454,66,0.87307692
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,100,308,45,0.87252125
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,93,352,19,0.94878706
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,90,480,60,0.88888889
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,90,480,50,0.90566038
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,96,418,102,0.80384615
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,100,280,73,0.79320113
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,93,291,80,0.78436658
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,89,435,99,0.81460674
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,90,457,73,0.86226415
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,96,428,92,0.82307692
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,100,298,55,0.84419263
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,93,302,69,0.81401617
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,90,439,101,0.81296296
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_tt,90,458,72,0.86415094
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aegislab,96,418,102,0.80384615
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2022,100,230,123,0.65155807
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2025,93,302,69,0.81401617
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,re2_ob,90,436,104,0.80740741
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,re2_tt,90,419,111,0.79056604
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aegislab,96,413,107,0.79423077
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aiops2022,100,233,120,0.66005666
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aiops2025,93,293,78,0.78975741
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,re2_ob,90,429,111,0.79444444
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,re2_tt,90,409,121,0.77169811
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aegislab,96,390,130,0.75
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aiops2022,100,180,173,0.50991501
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aiops2025,93,246,125,0.66307278
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,re2_ob,90,359,181,0.66481481
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,re2_tt,90,378,152,0.71320755
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aegislab,95,360,154,0.70038911
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2022,100,190,163,0.53824363
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2025,93,233,138,0.62803235
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_ob,90,359,181,0.66481481
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_tt,90,363,167,0.68490566
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aegislab,96,408,112,0.78461538
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2022,100,276,77,0.78186969
