experiment,model,arm,dataset_scope,expected_n,missing_record_n,missing_record_rate,vllm_response_failure_n,vllm_response_failure_rate,input_context_overflow_n,input_context_overflow_rate,timeout_n,timeout_rate,infrastructure_other_n,infrastructure_other_rate,protocol_ineligible_n,protocol_ineligible_rate,output_truncation_n,output_truncation_rate,parse_failure_n,parse_failure_rate,none_n,none_rate,infrastructure_error_rate,model_output_error_rate,any_problem_rate
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,P,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,V,all_469,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,1,0,0,0
cross_region,gemma-4-26b-a4b,H,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,P,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,V,headline_289,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,1,0,0,0
cross_region,gemma-4-26b-a4b,H,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,P,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,V,re2_ob,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,H,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,P,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,gemma-4-26b-a4b,V,re2_tt,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0
cross_region,qwen3.6-27b,H,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,P,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,V,aegislab,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,0
cross_region,qwen3.6-27b,H,aiops2022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aiops2022,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0,0,0
