experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,H,aiops2022,adservice2-0,1,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,cartservice,5,0,0.23333333
direct_rca,gemma-4-26b-a4b,H,aiops2022,cartservice-0,2,0,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2022,cartservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,checkoutservice,4,0.75,0.75
direct_rca,gemma-4-26b-a4b,H,aiops2022,checkoutservice-0,2,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,checkoutservice-1,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2022,currencyservice,2,0,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2022,currencyservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,currencyservice-1,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2022,currencyservice-2,2,0.5,0.66666667
direct_rca,gemma-4-26b-a4b,H,aiops2022,emailservice,4,0,0.175
direct_rca,gemma-4-26b-a4b,H,aiops2022,emailservice-1,2,0,0.375
direct_rca,gemma-4-26b-a4b,H,aiops2022,frontend,3,0,0.22222222
direct_rca,gemma-4-26b-a4b,H,aiops2022,frontend-0,1,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,frontend-1,1,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,frontend-2,1,0,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2022,frontend2-0,1,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,node-1,3,0,0.11111111
direct_rca,gemma-4-26b-a4b,H,aiops2022,node-2,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,H,aiops2022,node-3,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2022,node-4,4,0,0.1875
direct_rca,gemma-4-26b-a4b,H,aiops2022,node-5,8,0.25,0.3375
direct_rca,gemma-4-26b-a4b,H,aiops2022,node-6,7,0.57142857,0.64285714
direct_rca,gemma-4-26b-a4b,H,aiops2022,paymentservice,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,productcatalogservice,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2022,productcatalogservice-0,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,H,aiops2022,productcatalogservice-1,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,H,aiops2022,productcatalogservice-2,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2022,productcatalogservice2-0,1,0,0.33333333
direct_rca,gemma-4-26b-a4b,H,aiops2022,recommendationservice,4,0.25,0.375
direct_rca,gemma-4-26b-a4b,H,aiops2022,recommendationservice-2,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,recommendationservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,shippingservice,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2022,shippingservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,shippingservice-1,2,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2022,shippingservice2-0,1,0,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2025,adservice,14,0.14285714,0.2047619
direct_rca,gemma-4-26b-a4b,H,aiops2025,cartservice,7,0.14285714,0.14285714
direct_rca,gemma-4-26b-a4b,H,aiops2025,checkoutservice,17,0.17647059,0.27941176
direct_rca,gemma-4-26b-a4b,H,aiops2025,currencyservice,4,0.25,0.35
direct_rca,gemma-4-26b-a4b,H,aiops2025,emailservice,2,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,frontend,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-1,3,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-3,3,0.33333333,0.44444444
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-4,1,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-5,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-6,5,0.2,0.3
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-7,2,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,node-8,4,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2025,paymentservice,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,productcatalogservice,4,0,0.0625
direct_rca,gemma-4-26b-a4b,H,aiops2025,recommendationservice,1,0,0
direct_rca,gemma-4-26b-a4b,H,aiops2025,shippingservice,6,0,0.055555556
