experiment,model,arm,dataset,n,overall,level1,level2,level3,query_id_valid,step_accuracy
cross_region,gemma-4-26b-a4b,P,aiops2022,100,0.50166667,0.79,0.25,0,1,0.525
cross_region,gemma-4-26b-a4b,P,aiops2025,93,0.57885305,0.75268817,0.58974359,0.045454545,1,0.58243728
cross_region,gemma-4-26b-a4b,P,re2_ob,90,0.2962963,0.7,0.14444444,0.044444444,1,0.32777778
cross_region,gemma-4-26b-a4b,P,re2_tt,90,0.34259259,0.77777778,0.15730337,0.068181818,1,0.35555556
cross_region,gemma-4-26b-a4b,V,aegislab,96,0.25,0.40625,0.16842105,0.11842105,1,0.48784722
cross_region,gemma-4-26b-a4b,V,aiops2022,100,0.48833333,0.52,0.44791667,0.44444444,1,0.635
cross_region,gemma-4-26b-a4b,V,aiops2025,93,0.47670251,0.5483871,0.55128205,0.068181818,1,0.57706093
cross_region,gemma-4-26b-a4b,V,re2_ob,90,0.35185185,0.48888889,0.41111111,0.15555556,1,0.52222222
cross_region,gemma-4-26b-a4b,V,re2_tt,90,0.29814815,0.38888889,0.31460674,0.17045455,1,0.54074074
cross_region,qwen3.6-27b,H,aegislab,96,0.56597222,0.9375,0.31578947,0.40789474,1,0.69097222
cross_region,qwen3.6-27b,H,aiops2022,100,0.82,0.99,0.71875,0.22222222,1,0.84
cross_region,qwen3.6-27b,H,aiops2025,93,0.85483871,0.96774194,0.85897436,0.45454545,1,0.89605735
cross_region,qwen3.6-27b,H,re2_ob,90,0.64814815,0.98888889,0.56666667,0.38888889,1,0.73148148
cross_region,qwen3.6-27b,H,re2_tt,90,0.72407407,1,0.53932584,0.625,1,0.8037037
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aegislab,96,0.57638889,0.97916667,0.33684211,0.36842105,1,0.59548611
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aiops2022,100,0.71833333,0.98,0.51041667,0.16666667,1,0.71166667
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,aiops2025,93,0.83691756,0.96774194,0.85897436,0.34090909,1,0.85304659
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,re2_ob,90,0.57407407,1,0.5,0.22222222,1,0.6037037
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gt,re2_tt,90,0.62777778,0.96666667,0.48314607,0.42045455,1,0.67037037
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aegislab,96,0.49652778,0.80208333,0.29473684,0.36842105,1,0.56597222
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2022,100,0.70333333,0.91,0.55208333,0.22222222,1,0.71166667
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,aiops2025,93,0.7921147,0.88172043,0.84615385,0.34090909,1,0.82078853
