experiment,model,arm,dataset,template,n,accuracy
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,M_direct_read,16,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,M_locator_chain,18,0.44444444
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,R_G_link,17,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,R_direct_read,25,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,R_locator_chain,30,0.16666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,G_direct_read,29,0.75862069
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,G_locator_chain,31,0.4516129
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,L_G_link,8,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,L_R_link,10,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,L_direct_read,23,0.73913043
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,L_locator_chain,11,0.36363636
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,M_G_link,15,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,M_L_link,12,0.91666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,M_R_link,24,0.91666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,M_direct_read,21,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,M_locator_chain,24,0.33333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,R_G_link,20,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,R_direct_read,17,0.82352941
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,R_locator_chain,22,0.18181818
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,G_direct_read,20,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,G_locator_chain,18,0.27777778
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,L_direct_read,27,0.11111111
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,M_G_link,31,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,M_L_link,3,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,M_R_link,22,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,M_direct_read,26,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,M_locator_chain,32,0.625
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,R_G_link,39,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,R_direct_read,23,0.95652174
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,R_locator_chain,26,0.076923077
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,G_direct_read,21,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,L_R_link,41,0.82926829
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,L_direct_read,27,0.37037037
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,L_locator_chain,4,0.25
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,M_G_link,16,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,M_L_link,15,0.6
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,M_R_link,24,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,M_direct_read,23,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,M_locator_chain,8,0.375
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,R_direct_read,29,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,R_locator_chain,6,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,G_direct_read,24,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,G_locator_chain,16,0.3125
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,L_direct_read,25,0.32
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,M_G_link,2,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,M_L_link,36,0.61111111
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,M_R_link,33,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,M_direct_read,25,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,M_locator_chain,14,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,R_G_link,7,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,R_direct_read,19,0.94736842
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,R_locator_chain,14,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,G_direct_read,26,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,G_locator_chain,27,0.22222222
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,L_G_link,12,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,L_R_link,10,0.9
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,L_direct_read,23,0.65217391
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,L_locator_chain,15,0.33333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,M_G_link,14,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,M_L_link,27,0.96296296
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,M_R_link,10,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,M_direct_read,16,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,M_locator_chain,18,0.44444444
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,R_G_link,17,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,R_direct_read,25,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,R_locator_chain,30,0.066666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,G_direct_read,29,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,G_locator_chain,31,0.38709677
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,L_G_link,8,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,L_R_link,10,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,L_direct_read,23,0
