experiment,model,arm,dataset_scope,n,case_n,complete_chain_accuracy,correct_prefix_accuracy,step_accuracy,query_membership_valid,level_1_complete_chain_accuracy,level_2_complete_chain_accuracy,level_3_complete_chain_accuracy,ac@1,ac@3,ac@5,avg@3,avg@5,mrr
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2025,93,93,0.6702509,0.75298686,0.77419355,1,0.67741935,0.62820513,0.72727273,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2025,93,93,0.8172043,0.85394265,0.84050179,1,0.96774194,0.85897436,0.22727273,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2025,93,93,0.76523297,0.79719235,0.79032258,1,0.84946237,0.84615385,0.27272727,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2025,93,93,0.70250896,0.77001195,0.76523297,1,0.8172043,0.71794872,0.29545455,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2025,93,93,0.64874552,0.71684588,0.71684588,1,0.7311828,0.67948718,0.31818182,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2025,93,93,0.88351254,0.93040621,0.92293907,1,0.97849462,0.85897436,0.59090909,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2025,93,93,0.82258065,0.8760454,0.87992832,1,0.87096774,0.84615385,0.61363636,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2025,93,93,0.77060932,0.83990442,0.84229391,1,0.82795699,0.74358974,0.61363636,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2025,93,93,0.67921147,0.77001195,0.79032258,1,0.69892473,0.67948718,0.59090909,,,,,,
cross_region,gemma-4-26b-a4b,P,aiops2025,93,93,0.57885305,0.61379928,0.58243728,1,0.75268817,0.58974359,0.045454545,,,,,,
cross_region,gemma-4-26b-a4b,V,aiops2025,93,93,0.47670251,0.58094385,0.57706093,1,0.5483871,0.55128205,0.068181818,,,,,,
cross_region,gemma-4-26b-a4b,H,all_469,469,469,0.68088131,0.7709666,0.74769012,1,0.92963753,0.55133929,0.43670886,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,all_469,469,469,0.6286425,0.69373371,0.63823738,1,0.9466951,0.48660714,0.26898734,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,all_469,469,469,0.57569296,0.66109927,0.63397299,1,0.84221748,0.47544643,0.26582278,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,all_469,469,469,0.58670931,0.67205638,0.64570007,1,0.80383795,0.50669643,0.30379747,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,all_469,469,469,0.539801,0.63574982,0.63574982,1,0.69509595,0.49330357,0.31329114,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,all_469,469,469,0.68372424,0.77783701,0.7416489,1,0.9466951,0.49107143,0.50632911,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,all_469,469,469,0.63859275,0.74739398,0.73738451,1,0.8315565,0.49553571,0.51898734,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,all_469,469,469,0.63930348,0.75260602,0.742715,1,0.80597015,0.50223214,0.5443038,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,all_469,469,469,0.59061834,0.72009003,0.73169865,1,0.70149254,0.47767857,0.54746835,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,all_469,469,469,0.62260128,0.69758351,0.64818763,1,0.9466951,0.48660714,0.24367089,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,all_469,469,469,0.58564321,0.66933191,0.63717129,1,0.84221748,0.48883929,0.25,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,all_469,469,469,0.58777541,0.6879294,0.6663113,1,0.80597015,0.51339286,0.27848101,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,all_469,469,469,0.54761905,0.65322199,0.64179104,1,0.72707889,0.49776786,0.2721519,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,all_469,469,469,0.67306326,0.78707652,0.75017768,1,0.95735608,0.50892857,0.40822785,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,all_469,469,469,0.6286425,0.75568586,0.73347548,1,0.87633262,0.48883929,0.39873418,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,all_469,469,469,0.61940299,0.75355366,0.74022743,1,0.81663113,0.515625,0.39240506,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,all_469,469,469,0.52985075,0.6862118,0.70113717,1,0.64818763,0.47544643,0.37974684,,,,,,
cross_region,gemma-4-26b-a4b,P,all_469,469,469,0.41862118,0.49265577,0.43638948,1,0.76759062,0.24330357,0.060126582,,,,,,
cross_region,gemma-4-26b-a4b,V,all_469,469,469,0.37455579,0.5366027,0.55366027,1,0.47121535,0.37276786,0.15506329,,,,,,
cross_region,gemma-4-26b-a4b,H,headline_289,289,289,0.71222607,0.78911957,0.76355248,1,0.92733564,0.58736059,0.41304348,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,headline_289,289,289,0.67012687,0.72856594,0.67416378,1,0.9550173,0.50185874,0.25362319,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,headline_289,289,289,0.60034602,0.6754133,0.64417532,1,0.82352941,0.49814126,0.23913043,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,headline_289,289,289,0.62168397,0.6953095,0.67416378,1,0.79238754,0.53531599,0.3115942,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,headline_289,289,289,0.56170704,0.64600154,0.65051903,1,0.66782007,0.53159851,0.28985507,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,headline_289,289,289,0.71914648,0.80603614,0.7704729,1,0.94809689,0.52788104,0.52173913,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,headline_289,289,289,0.67589389,0.76970396,0.75720877,1,0.83391003,0.53531599,0.58695652,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,headline_289,289,289,0.66782007,0.76701269,0.76412918,1,0.78546713,0.5464684,0.60144928,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,headline_289,289,289,0.62110727,0.73558247,0.75144175,1,0.69550173,0.50929368,0.63768116,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,headline_289,289,289,0.67531719,0.73712034,0.68569781,1,0.96539792,0.51301115,0.24637681,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,headline_289,289,289,0.63148789,0.70069204,0.66897347,1,0.84429066,0.51672862,0.26086957,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,headline_289,289,289,0.63379469,0.71337947,0.69665513,1,0.79930796,0.56133829,0.2826087,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,headline_289,289,289,0.58708189,0.67166474,0.66955017,1,0.69896194,0.54275093,0.3115942,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,headline_289,289,289,0.7295271,0.82795079,0.79527105,1,0.97231834,0.53903346,0.49275362,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,headline_289,289,289,0.66089965,0.76970396,0.74798155,1,0.8650519,0.51301115,0.42753623,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,headline_289,289,289,0.67820069,0.78835063,0.78431373,1,0.81314879,0.57249071,0.49275362,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,headline_289,289,289,0.56978085,0.69771242,0.72318339,1,0.61937716,0.5204461,0.48550725,,,,,,
cross_region,gemma-4-26b-a4b,P,headline_289,289,289,0.48039216,0.54700115,0.49538639,1,0.78546713,0.30483271,0.065217391,,,,,,
cross_region,gemma-4-26b-a4b,V,headline_289,289,289,0.40542099,0.5523837,0.56747405,1,0.49134948,0.37918216,0.14492754,,,,,,
cross_region,gemma-4-26b-a4b,H,re2_ob,90,90,0.58518519,0.7037037,0.67962963,1,0.91111111,0.47777778,0.36666667,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,90,90,0.53703704,0.61790123,0.57222222,1,0.93333333,0.45555556,0.22222222,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,90,90,0.53703704,0.6308642,0.6037037,1,0.92222222,0.45555556,0.23333333,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,90,90,0.54814815,0.65123457,0.60740741,1,0.91111111,0.5,0.23333333,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,90,90,0.51481481,0.62901235,0.59814815,1,0.83333333,0.46666667,0.24444444,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,re2_ob,90,90,0.6037037,0.71234568,0.67037037,1,0.96666667,0.41111111,0.43333333,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,re2_ob,90,90,0.57407407,0.69567901,0.68703704,1,0.85555556,0.42222222,0.44444444,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,re2_ob,90,90,0.62592593,0.75617284,0.71666667,1,0.93333333,0.45555556,0.48888889,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_ob,90,90,0.56666667,0.7154321,0.69259259,1,0.84444444,0.44444444,0.41111111,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_ob,90,90,0.52222222,0.61481481,0.56851852,1,0.92222222,0.43333333,0.21111111,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_ob,90,90,0.52592593,0.63024691,0.58888889,1,0.92222222,0.44444444,0.21111111,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_ob,90,90,0.53703704,0.66358025,0.62407407,1,0.88888889,0.5,0.22222222,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_ob,90,90,0.50740741,0.64259259,0.60185185,1,0.86666667,0.46666667,0.18888889,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_ob,90,90,0.55925926,0.69135802,0.64074074,1,0.93333333,0.43333333,0.31111111,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_ob,90,90,0.57777778,0.72160494,0.69074074,1,0.91111111,0.43333333,0.38888889,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_ob,90,90,0.55925926,0.71419753,0.66481481,1,0.91111111,0.46666667,0.3,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_ob,90,90,0.48888889,0.68024691,0.65740741,1,0.76666667,0.43333333,0.26666667,,,,,,
cross_region,gemma-4-26b-a4b,P,re2_ob,90,90,0.2962963,0.38024691,0.32777778,1,0.7,0.14444444,0.044444444,,,,,,
cross_region,gemma-4-26b-a4b,V,re2_ob,90,90,0.35185185,0.52283951,0.52222222,1,0.48888889,0.41111111,0.15555556,,,,,,
cross_region,gemma-4-26b-a4b,H,re2_tt,90,90,0.67592593,0.77993827,0.76481481,1,0.95555556,0.51685393,0.54545455,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,90,90,0.58703704,0.65771605,0.58888889,1,0.93333333,0.47191011,0.34090909,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,90,90,0.53518519,0.64537037,0.63148148,1,0.82222222,0.42696629,0.34090909,,,,,,
